pais,nombre,fecha_ing,capacidad,direccion,estado
España,Camp Nou1,01/01/90,10000,Dir 1,Activo
España,Bernabeu2,02/01/91,11000,Dir 2,No Activo
Inglaterra,Old Trafford3,03/01/92,12000,Dir 3,Activo
Inglaterra,Anfield4,04/01/93,13000,Dir 4,Activo
Guatemala,Mateo Flores5,05/01/94,14000,Dir 5,No Activo
España,Camp Nou6,01/01/95,10000,Dir 1,Activo
España,Bernabeu7,02/01/90,11000,Dir 2,No Activo
Inglaterra,Old Trafford8,03/01/91,12000,Dir 3,Activo
Inglaterra,Anfield9,04/01/92,13000,Dir 4,Activo
Guatemala,Mateo Flores10,05/01/93,14000,Dir 5,No Activo
España,Camp Nou11,01/01/94,10000,Dir 1,Activo
España,Bernabeu12,02/01/95,11000,Dir 2,No Activo
Inglaterra,Old Trafford13,03/01/96,12000,Dir 3,Activo
Inglaterra,Anfield14,04/01/97,13000,Dir 4,Activo
Guatemala,Mateo Flores15,05/01/98,14000,Dir 5,No Activo
España,Bernabeu16,02/01/95,11000,Dir 2,No Activo
Inglaterra,Old Trafford17,03/01/96,12000,Dir 3,Activo
Inglaterra,Anfield18,04/01/97,13000,Dir 4,Activo
Guatemala,Mateo Flores19,05/01/98,14000,Dir 5,No Activo
