nombres,fecha_nac,pais,estado,pais_equipo,equipo,fecha_ini,fecha_fin
Pep Guardiola,18/01/1971,España,Activo,Inglaterra,Manchester City F.C.,01/02/2016,
Thomas Tuchel,29/08/1973,Alemania,Activo,Inglaterra,Chelsea F.C.,10/03/2018,
Antonio Conte,31/07/1969,Italia,Activo,Inglaterra,Tottenham Hotspur,05/09/2015,
Jürgen Klopp,16/06/1967,Alemania,Activo,Inglaterra,Liverpool F.C.,03/06/2016,
Ralf Rangnick,29/06/1958,Alemania,Activo,Inglaterra,Manchester United F.C.,05/03/2021,
Alex Ferguson,31/12/1941,Inglaterra,No Activo,Inglaterra,Manchester United F.C.,05/03/1986,05/03/2013
Mikel Arteta,26/03/1982,España,Activo,Inglaterra,Arsenal F.C.,01/12/2016,
Rafa Benítez,16/04/1960,España,Activo,Inglaterra,Everton F.C.,01/01/2015,
Julian Nagelsmann,23/06/1987,Alemania,Activo,Alemania,Bayern de Múnich,27/02/2018,
Marco Rose,11/09/1976,Alemania,Activo,Alemania,Borussia Dortmund,19/12/2015,
Gerardo Seoane,30/10/1978,Suiza,Activo,Alemania,Bayer 04 Leverkusen,01/07/2003,
Domenico Tedesco,12/09/1985,Italia,Activo,Alemania,R.B. Leipzig,19/05/2009,
Adolf Hütter,11/02/1970,Alemania,Activo,Alemania,Borussia Mönchengladbach,01/08/2015,
Jocelyn Gourvennec,22/03/1972,Francia,Activo,Francia,Lille O.S.C.,23/09/2019,
Peter Bosz,21/11/1963,Paises Bajos,Activo,Francia,Olympique de Lyon,03/08/2018,
Jorge Sampaoli,13/03/1960,Argentina,Activo,Francia,Olympique de Marsella,31/08/2020,
Niko Kovač,15/10/1971,Alemania,Activo,Francia,A.S. Mónaco F.C.,23/08/2020,
Mauricio Pochettino,02/03/1972,Argentina,Activo,Francia,Paris-Saint-Germain F.C.,12/08/2015,
Xavi Hernández,25/01/1980,España,Activo,España,F.C. Barcelona,29/11/2021,
Carlo Ancelotti,10/06/1959,Italia,Activo,España,Real Madrid C.F.,06/03/2018,
Diego Simeone,28/04/1970,Argentina,Activo,España,Atlético de Madrid,26/04/2015,
Julen Lopetegui,28/08/1966,España,Activo,España,Sevilla F.C.,25/01/2018,
Unai Emery,03/11/1971,España,Activo,España,Villarreal C.F.,10/03/2019,
José Bordalás,05/03/1964,España,Activo,España,Valencia C.F.,18/03/2018,
Stefano Pioli,20/10/1965,Italia,Activo,Italia,A.C. Milan,16/12/2015,
Simone Inzaghi,05/04/1976,Italia,Activo,Italia,Inter de Milán,09/03/2019,
Massimiliano Allegri,11/08/1967,Italia,Activo,Italia,Juventus,01/11/2021,
José Mourinho,26/01/1963,Portugal,Activo,Italia,A.S. Roma,07/06/2020,
Luciano Spalletti,07/03/1959,Italia,Activo,Italia,S.S.C. Napoli,01/08/2019,
